Hero Damage,Damage Taken,Teamfight Participation,Turret Damage,Performance,Role,Role Id,Analysis
16,14,47,0,Bad,Jungler,1,"Permainan Kurang baik, rotasi sudah baik, namun jangan melupakan objektif turret  karena support kurang damage jika melakukan solo push"
21,19,50,56,Good,Jungler,1,"Permainan sangat baik, pertahankan permainanmu karena sudah bagus"
21,10,33,0,Bad,Jungler,1,"Permainan Kurang baik, rotasi sudah baik, namun jangan melupakan objektif turret  karena support kurang damage jika melakukan solo push, jangan fokus war komunikasikan dengan tim mu"
32,24,67,21,Bad,Jungler,1,"Tingkatkan lagi objektif, untuk rotasi sangat baik, perhatikan posisi saat war"
22,20,65,13,Bad,Jungler,1,"Permainan kurag baik, tingkatkan lagi objektif turret, untuk rotasi sudah baik, namun perhatikan posisi saat memasuki war agar tidak terpick off duluan"
24,11,0,58,Bad,Jungler,1,"Permainan buruk, objektif sudah sangat baik karena hal utama, namun jangan melupakan rotasi untuk membantu sisi samping"
28,15,63,66,Good,Jungler,1,"Permainan sangat baik, pertahankan permainanmu karena sudah bagus"
26,10,68,4,Bad,Jungler,1,"Permainan cukup baik, rotasi sudah sangat baik untuk membantu, fokus objektif terlebih dahulu, karena objektif sangat kurang"
28,11,57,0,Bad,Jungler,1,"Permainan Kurang baik, rotasi sudah baik, namun jangan melupakan objektif turret  karena support kurang damage jika melakukan solo push, jangan fokus war komunikasikan dengan tim mu"
14,15,100,0,Bad,Jungler,1,"Permainan Kurang baik, rotasi sudah baik, namun jangan melupakan objektif turret  karena support kurang damage jika melakukan solo push"
21,14,66,35,Good,Jungler,1,"Permainan cukup baik, tingkatkan lagi objektif turret,  rotasi sangat baik untuk membantu tim"
20,14,76,0,Bad,Jungler,1,"Permainan Kurang baik, rotasi sudah baik, namun jangan melupakan objektif turret  karena support kurang damage jika melakukan solo push"
19,19,47,0,Bad,Jungler,1,"Permainan Kurang baik, rotasi sudah baik, namun jangan melupakan objektif turret  karena support kurang damage jika melakukan solo push"
33,14,61,27,Bad,Jungler,1,"Rotasi sudah sangat baik, namun tingkatkan lagi objektif turret terutama untuk daerah mid"
21,18,50,20,Bad,Jungler,1,"Permainan kurang baik, tingkatkan lagi untuk objektif turret, jangan fokus untuk meningkatkan kill, untuk rotasi sudah bagus"
29,20,0,0,Bad,Jungler,1,"Permainan sangat buruk, lakukan rotasi dan objektif turret jangan fokus kill karena objektif adalah hal utama"
33,14,61,14,Bad,Jungler,1,"Permainan kurang baik, tingkatkan lagi untuk objektif turret, jangan fokus untuk meningkatkan kill, untuk rotasi sudah bagus"
19,13,75,0,Bad,Jungler,1,"Permainan Kurang baik, rotasi sudah baik, namun jangan melupakan objektif turret  karena support kurang damage jika melakukan solo push"
27,7,70,28,Bad,Jungler,1,"Permainan cukup baik, rotasi dan posisi sangat baik saat fight maupun team fight, tapi tingkatkan lagi rotasi karena objektif utama"
18,13,54,19,Bad,Jungler,1,"Rotasi sudah baik, namun kurang objektif turret, perhatikan posisi saat fight"
17,6,60,0,Bad,Jungler,1,"Permainan Kurang baik, rotasi sudah baik, namun jangan melupakan objektif turret  karena support kurang damage jika melakukan solo push"
17,15,56,54,Good,Jungler,1,"Permainan sangat baik, pertahankan permainanmu karena sudah bagus"
22,13,77,47,Good,Jungler,1,"Permainan sangat baik, pertahankan permainanmu karena sudah bagus"
17,14,62,46,Good,Jungler,1,"Permainan sangat baik, Jangan khawatir jika mendapat kill sedikit utamakan objektif, posisi sudah baik saat war"
14,12,59,20,Bad,Jungler,1,"Permainan kurang baik, tingkatkan lagi untuk objektif turret, jangan fokus untuk meningkatkan kill, untuk rotasi dan posisi sudah bagus"
25,12,59,32,Bad,Jungler,1,"Permainan kurang baik, tingkatkan lagi untuk objektif turret, jangan fokus untuk meningkatkan kill, untuk rotasi dan posisi sudah bagus"
19,17,67,38,Good,Jungler,1,"Permainan cukup baik, objektif turret  sukup baik,  rotasi sangat baik untuk membantu tim, perhatikan posisi saat war"
25,13,63,52,Good,Jungler,1,"Permainan sangat baik, pertahankan permainanmu karena sudah bagus"
17,16,87,66,Good,Jungler,1,"Permainan sangat baik, Jangan khawatir jika mendapat kill sedikit utamakan objektif, posisi sudah baik saat war"
